"ZipCode","Latitude","Longitude","City","State","County"
"65803",37.299377,-93.324456,"Springfield","MO","Greene"
"65804",37.151377,-93.238034,"Springfield","MO","Greene"
"65805",37.25807,-93.343673,"Springfield","MO","Greene"
"65806",37.177044,-93.303288,"Springfield","MO","Greene"
"65807",37.158811,-93.348705,"Springfield","MO","Greene"
"65808",37.25807,-93.343673,"Springfield","MO","Greene"
"65809",37.150649,-93.21641,"Springfield","MO","Greene"
"65810",37.122249,-93.31318,"Springfield","MO","Greene"
"65814",37.25807,-93.343673,"Springfield","MO","Greene"
"65817",37.25807,-93.343673,"Springfield","MO","Greene"
"65890",37.25807,-93.343673,"Springfield","MO","Greene"
"65898",37.180349,-93.295137,"Springfield","MO","Greene"
"65899",37.181498,-93.259586,"Springfield","MO","Greene"
"66002",39.535948,-95.225098,"Atchison","KS","Atchison"
"66006",38.821502,-95.223906,"Baldwin City","KS","Douglas"
"66007",39.133448,-94.947234,"Basehor","KS","Leavenworth"
"66008",39.712615,-95.186894,"Bendena","KS","Doniphan"
"66010",38.089756,-95.007693,"Blue Mound","KS","Linn"
"66012",39.068153,-94.763938,"Bonner Springs","KS","Wyandotte"
